,GDG,NEI,COM,FLO
F520,0.995207051,0.985616557,0.383426729,0.5
F521,0.979866673,0.985615637,0.594378994,0.251813672
F522,0.972207514,0.98466146,0.683507255,0.262244358
F523,0.979848217,0.987514736,0.975051577,0.347015915
F524,0.980833719,0.986101919,0.416240136,0.358398416
F525,0.976991271,0.983699929,0.61358756,0.203635986
F526,0.949109499,0.996164442,0.83580388,0.387394139
F527,0.976956287,0.99087968,0.914577053,0.206227158
F528,0.960628595,0.987520289,0.922237128,0.477564952
F529,0.418538012,0.531672515,0.511216374,0.519479532
F530,0.989452571,0.986099161,0.581982042,0.744241843
F531,0.984654106,0.982745751,0.587721814,0.285189659
F532,0.221744675,0.804545254,0.401302351,0.374268497
F533,0.992307692,0.990384615,0.5875,0.217788462
F534,0.594546027,0.801662029,0.503784491,0.605278413
F535,0.167124891,0.802160279,0.080617112,0.323906611
F536,0.97604077,0.988013031,0.581897471,0.265202492
F537,0.970243025,0.986561054,0.686497289,0.244550995
F538,0.631192833,0.872422652,0.532777446,0.376616725
F539,0.982740236,0.996642913,0.337765938,0.108294541
F540,0.594275492,0.616692755,0.355083482,0.352769082
F541,0.385576923,0.653846154,0.697115385,0.523557692
F542,0.737443988,0.675723488,0.557804332,0.392760456
F543,0.67815534,0.781662859,0.37915001,0.470654864
F544,0.441346154,0.636538462,0.872115385,0.403846154
F545,0.755182556,0.554241922,0.505642507,0.385005571
F546,0.471884636,0.656438677,0.383379544,0.438026353
F547,0.295192308,0.60625,0.195192308,0.487980769
F548,0.491466781,0.555734818,0.43609842,0.381620027
F549,0.492999239,0.540334095,0.493584618,0.501251666
F550,0.328846154,0.668269231,0.615384615,0.453365385
F551,0.611165049,0.545631068,0.49368932,0.485679612
F552,0.4837496,0.817009783,0.63775713,0.161148652
F553,0.459565962,0.564762993,0.609075766,0.560187036
F554,0.468259895,0.416929612,0.554929052,0.516322816
F555,0.517256348,0.59767317,0.468441934,0.606149645
F556,0.248506348,0.532713312,0.552380508,0.394401139
F557,0.454949314,0.798904293,0.349918008,0.573520423
F558,0.478850181,0.562483343,0.414986674,0.594493623
F559,0.534527276,0.564633081,0.510011001,0.551642076
F560,0.533378454,0.698025579,0.46629481,0.393549291
F561,0.669660194,0.565105654,0.584599277,0.526213592
F562,0.477773315,0.486292141,0.513293255,0.59001775
F563,0.349096406,0.672521759,0.636967643,0.524959582
F564,0.76401699,0.53110997,0.42801531,0.592153659
F565,0.562177931,0.406980489,0.676269604,0.569361464
F566,0.888509431,0.706769452,0.506881816,0.551597038
F567,0.60500583,0.46488006,0.617899384,0.375666333
F568,0.412458746,0.622648515,0.53490099,0.549958746
F569,0.685436893,0.66868932,0.583009709,0.525
F570,0.501008215,0.51103202,0.42851475,0.573137603
F571,0.460618932,0.616691561,0.400322069,0.509106609
F572,0.179167422,0.517089477,0.282429841,0.60889197
F573,0.769411288,0.704374816,0.60893015,0.772100648
F574,0.873410624,0.968355873,0.259067443,0.577769137
F575,0.992333488,0.98657625,0.501570072,0.560022172
F576,0.580158257,0.979404292,0.318994933,0.652228988
