,GDG,NEI,COM,FLO
F53,0.878846154,0.882692308,0.541346154,0.564423077
F54,0.928931068,0.808859739,0.592227301,0.629271699
F55,0.804324423,0.719594333,0.585295969,0.659152892
F56,0.821529917,0.904053077,0.681103492,0.827707664
F57,0.780478523,0.961184835,0.380819747,0.402376067
F58,1,0.978907899,0.104498055,0.790816364
F59,0.654807692,0.766346154,0.365384615,0.625961538
F60,0.867307692,0.793269231,0.625,0.560576923
F61,0.943176533,0.976402454,0.786221292,0.471488605
F62,0.8125,0.914082338,0.803902166,0.82004761
F63,0.36673402,0.794933585,0.384210032,0.582505217
F64,0.595548047,0.810310323,0.558307662,0.425589619
F65,0.774038462,0.736057692,0.581730769,0.644711538
F66,0.930924173,0.925688148,0.371857098,0.87208599
F67,0.754074784,0.884189319,0.754074784,0.656082377
F68,0.860995286,0.985134872,0.056566726,0.649232246
F69,0.932889521,0.982268663,0.087252999,0.431417808
F70,0.852128454,0.904364264,0.813830284,0.6115618
F71,0.756077296,0.777053771,0.365188574,0.717648432
F72,0.677503947,0.801188623,0.343778639,0.535268089
F73,0.832692308,0.926442308,0.633653846,0.648076923
F74,0.260457662,0.767892815,0.459771914,0.562347197
F75,0.948250123,0.970268824,0.425590708,0.30792813
F76,0.71097944,0.667808871,0.516642871,0.553595564
F77,0.936739324,0.989458086,0.227528111,0.742466778
F78,0.607440854,0.75007126,0.171510197,0.467822808
F79,0.990417779,0.94343787,0.265581221,0.43611056
F80,0.776699029,0.590127894,0.641112771,0.530465833
F81,0.631933966,0.723052635,0.451015942,0.500748128
F82,0.966436487,0.989929659,0.150418073,0.32007137
F83,0.374770024,0.558569356,0.391483766,0.516363919
F84,0.663959205,0.894508671,0.629814187,0.415805705
F85,0.371250745,0.657606589,0.755910853,0.545602266
F86,0.827383973,0.984172421,0.189693781,0.476549113
F87,0.777270131,0.812369122,0.443703598,0.504476014
F88,0.765923637,0.753889553,0.470671938,0.717322216
F89,0.61349888,0.673800411,0.54582711,0.581182319
F90,0.879214743,0.979392342,0.491070444,0.717850288
F91,0.801923077,0.864423077,0.616346154,0.598076923
F92,0.697498133,0.696116505,0.556021285,0.525616131
F93,0.95203827,0.976001192,0.810968675,0.714196396
F94,0.357446277,0.777473763,0.683558221,0.585965351
F95,0.746853996,0.599113144,0.752137789,0.489488424
F96,0.249743284,0.811744344,0.785860192,0.323487032
F97,0.943440628,0.987543296,0.222067789,0.330040594
F98,0.611197664,0.839998301,0.521888954,0.535273895
F99,0.790776699,0.997303922,0.998039216,0.759718256
F100,0.368703323,0.718392924,0.376769044,0.436984223
F101,0.953982542,0.994241843,0.125027577,0.174445327
F102,0.924133514,0.910196319,0.68287014,0.837770656
F103,0.718606368,0.802571279,0.655931415,0.508147194
F104,0.995203374,0.979872188,0.128484862,0.552539509
F105,0.798393115,0.926645881,0.792154195,0.523043874
F106,0.316598512,0.862514736,0.249038462,0.189375184
F107,0.823716032,0.90944677,0.552571258,0.412746661
F108,0.786417102,0.98592233,0.946116505,0.744198096
F109,0.828428236,0.929094874,0.210816217,0.630170759
F110,0.784079742,0.989924586,0.456485254,0.612284276
F111,0.712354841,0.887254346,0.656624064,0.499750052
F112,0.691612034,0.900666606,0.68401959,0.345657018
F113,0.747362216,0.703429856,0.402818302,0.709514073
F114,0.971220159,0.916836133,0.738288388,0.860136678
F115,0.913714048,0.982742074,0.078628632,0.609168744
F116,0.837906047,0.948871398,0.86884058,0.687922705
F117,0.74715718,0.906317818,0.578390126,0.699497906
F118,0.956821174,0.916099492,0.327793957,0.744414661
F119,0.766689302,0.983189241,0.702452328,0.910697329
F120,0.885903178,0.953490745,0.235838095,0.56621881
F121,0.945254937,0.872119069,0.961612143,0.286632405
F122,0.885866408,0.970733044,0.42412451,0.330678551
F123,0.906008928,0.939126606,0.354663519,0.564516366
F124,1,0.982264986,0.229190107,0.600536104
F125,0.895467014,0.963076643,0.254928997,0.533716107
F126,0.851405711,0.993283988,0.152504762,0.709854686
F127,0.811065289,0.97747662,0.695559641,0.524763435
F128,0.834017252,0.950110677,0.27338562,0.464376457
F129,0.942484612,0.946772895,0.285767865,0.6829888
F130,0.379807692,0.661538462,0.413461538,0.427884615
F131,0.859689066,0.720708075,0.494076039,0.44920977
F132,0.941499111,0.961615434,0.873320304,0.888208453
F133,0.447882425,0.958261632,0.15829785,0.852332311
F134,0.970192308,0.732705202,0.54709328,0.562043177
F135,0.743007109,0.887784311,0.764151884,0.431577082
F136,0.703631441,0.670409354,0.74590646,0.675739824
F137,0.48151341,0.709162246,0.549130563,0.472555629
F138,0.8296494,0.961425591,0.442052551,0.630785028
F139,0.920332302,0.961100059,0.74522178,0.432349691
F140,0.82735088,0.947248145,0.16400453,0.764987388
F141,0.913734272,0.996644752,0.389779638,0.146620668
F142,0.25756705,0.64722959,0.454461391,0.463942308
F143,0.641341437,0.949620719,0.147728359,0.692457954
F144,0.922115385,0.993269231,0.781730769,0.566826923
F145,0.918183731,0.963440967,0.886319846,0.5844739
F146,0.977919662,0.914150574,0.72626619,0.71700371
F147,0.168221338,0.719726275,0.573891099,0.433653846
F148,0.880167082,0.997604445,0.367373015,0.347274619
F149,0.665027794,0.88924324,0.137704029,0.606064381
F150,0.131322667,0.774808981,0.522088619,0.654911557
F151,0.563337087,0.959175251,0.661725573,0.753676836
F152,0.972205676,0.987061612,0.471723991,0.466777528
F153,0.967379634,0.982737478,0.09490848,0.784206066
F154,0.471153952,0.740301379,0.80701028,0.670239988
F155,0.75760829,0.745535381,0.56170183,0.423518017
F156,0.173349476,0.941630726,0.240044317,0.511986096
F157,0.872452769,0.932380259,0.214732205,0.79104066
F158,0.743109331,0.981318162,0.354404292,0.603103559
F159,0.697060619,0.979396019,0.098747251,0.91997963
F160,0.919230769,0.820192308,0.866346154,0.445673077
F161,0.840675313,0.76787418,0.76891771,0.463480173
F162,0.638653562,0.968866055,0.06999875,0.452767298
F163,0.828660333,0.841530463,0.513360131,0.794412885
F164,0.577469599,0.673479927,0.486481759,0.416895719
F165,0.928028421,0.991838915,0.700522817,0.598577572
F166,0.645192308,0.910576923,0.907692308,0.812019231
F167,0.736466859,0.954980843,0.568737544,0.457219207
F168,0.561962701,0.965012575,0.204353917,0.772194277
F169,0.980793225,0.960178652,0.916484481,0.679703976
F170,0.755253017,0.760849702,0.328419844,0.70659705
F171,0.857519604,0.943806012,0.727450523,0.667893484
F172,0.971209213,0.953990815,0.209992572,0.60727142
F173,0.742132306,0.553595553,0.530092131,0.38995471
F174,0.811736063,0.999519693,0.570420241,0.332818521
F175,0.94341206,0.97840963,0.853144633,0.537639262
F176,0.983653846,0.875,0.620177571,0.267300324
F177,0.841856583,0.968853185,0.159081048,0.585979843
F178,0.755339806,0.872572816,0.717961165,0.676213592
F179,0.742027108,0.879576108,0.263963635,0.752020907
F180,1,1,0.999039385,0.069041428
F181,0.59202402,0.792440318,0.537798408,0.538365753
F182,0.89549643,0.915128768,0.391170458,0.803048772
F183,0.73568319,0.837624057,0.55277785,0.625210541
F184,0.740384615,0.888461538,0.470192308,0.540384615
F185,0.874344578,0.949666681,0.281041101,0.874480626
F186,0.953030203,0.990414102,0.267542892,0.332617241
F187,0.904100573,0.991368279,0.456405674,0.264109508
F188,0.843816416,0.967420081,0.269392415,0.751603165
F189,0.344993209,0.752717601,0.598540307,0.643363477
F190,0.646601942,0.732281553,0.491262136,0.491747573
F191,0.94341305,0.977945448,0.670130386,0.419390393
F192,0.77621821,0.858774995,0.785391186,0.464099204
F193,0.814918996,0.982741155,0.466592759,0.457540943
F194,0.600961538,0.809134615,0.524038462,0.757692308
F195,0.761538462,0.649519231,0.399038462,0.552884615
F196,0.788977727,0.853776413,0.797772701,0.572986865
F197,0.831246645,0.968841235,0.178278583,0.778114222
F198,0.43870836,0.811240573,0.846643921,0.391356675
F199,0.968379763,0.988970872,0.904987468,0.788965628
F200,0.896359223,0.848674567,0.762212069,0.410065677
F201,0.701923077,0.829326923,0.695192308,0.538942308
F202,0.803398058,0.845145631,0.490776699,0.43131068
F203,0.809757007,0.973024747,0.644588551,0.539423077
F204,0.790851382,0.808198749,0.749337192,0.506553398
F205,0.985576923,0.978365385,0.734615385,0.536538462
F206,0.919444628,0.992804142,0.0954444,0.255407925
F207,0.642312161,0.984655945,0.071896074,0.578404336
F208,0.539130467,0.993773027,0.443289871,0.329123186
F209,0.744571273,0.830371719,0.474624913,0.418002254
F210,0.925139994,0.814522546,0.816397731,0.332662835
F211,0.940587288,0.982263147,0.13137681,0.86200278
F212,0.389381658,0.59834341,0.308993865,0.448979027
F213,0.156398026,0.805035223,0.784910619,0.222832268
F214,0.341346154,0.640384615,0.455769231,0.519230769
F215,0.656740648,0.950100566,0.107896508,0.492406108
F216,0.094949043,0.784405468,0.644395862,0.735803328
F217,0.249009901,0.887622145,0.272087944,0.508599463
F218,0.918889341,0.938569938,0.949117378,0.5172147
F219,0.74432879,0.852018764,0.542615758,0.413629574
F220,0.921113116,0.924558595,0.922287642,0.5
F221,0.467326144,0.643116716,0.516375925,0.5
F222,0.317894022,0.593121651,0.30090075,0.5
F223,0.389685361,0.658734409,0.379578929,0.5
F224,0.991364602,0.948222546,0.250250035,0.582987697
F225,0.562865061,0.958269844,0.667643844,0.762384478
F226,0.937630993,0.984658702,0.139012068,0.52965304
F227,0.815902589,0.984644914,0.433664446,0.371221899
F228,0.569150961,0.665157212,0.574598642,0.499717622
F229,0.579189122,0.613796125,0.563425803,0.542496392
F230,0.453576031,0.634748174,0.505705452,0.577002792
F231,0.562819517,0.745628681,0.408250825,0.462858345
F232,0.983712798,0.98466146,0.596410528,0.251806319
F233,0.682770336,0.727596583,0.607466188,0.466876982
F234,0.453398998,0.623001619,0.392103486,0.46883499
F235,0.485410563,0.692515589,0.640342574,0.5
F236,0.353574448,0.790644011,0.318379222,0.499123932
F237,0.508880349,0.640806387,0.510603116,0.533044365
F238,0.478557407,0.632899777,0.494316441,0.496075353
F239,0.424900585,0.688163743,0.613134503,0.547859649
F240,0.515034602,0.665464151,0.634189462,0.510658915
F241,0.558181039,0.683364268,0.544369884,0.50099467
F242,0.503356953,0.621496635,0.488214263,0.493324112
F243,0.458336977,0.68733326,0.623454759,0.539831381
F244,0.413713592,0.716976288,0.414301718,0.43177978
F245,0.876923077,0.453365385,0.708653846,0.510096154
F246,0.49600563,0.489557044,0.559404323,0.525862292
F247,0.72657529,0.681220255,0.575399772,0.531129831
F248,0.531083697,0.590385017,0.492556349,0.505324074
F249,0.982754944,0.985625749,0.570533751,0.101681485
F250,0.748456381,0.811641615,0.627236222,0.680638447
F251,0.770192308,0.692307692,0.521153846,0.739423077
F252,0.841464044,0.754461391,0.701978338,0.835291409
F253,0.171013852,0.767412688,0.41452623,0.71160109
F254,0.8,0.824038462,0.254807692,0.7875
F255,0.485123784,0.756401046,0.405769231,0.73416593
F256,0.567601886,0.773818002,0.438824296,0.612227688
F257,0.445870174,0.719718907,0.448161656,0.439319923
F258,0.759843796,0.656856027,0.670615974,0.696408046
F259,0.682880195,0.668836575,0.328009873,0.418816313
F260,0.985617476,0.996164905,0.427096433,0.331716379
F261,0.837696277,0.82334784,0.689295285,0.838631985
F262,0.865563616,0.782936942,0.392643016,0.521820862
F263,0.954975327,0.971714798,0.326957443,0.494383407
F264,0.912734132,0.978912495,0.235861995,0.527074555
F265,0.602476979,0.577528772,0.581030291,0.5
F266,0.388706853,0.551240337,0.381761849,0.5
F267,0.97890788,0.826138384,0.507493071,0.257444765
F268,0.821563307,0.948669299,0.229173561,0.761774623
F269,0.709111277,0.602865945,0.592064974,0.599355863
F270,0.360715835,0.966940234,0.233859877,0.787107206
F271,0.875183566,0.809816213,0.323575364,0.463807181
F272,0.913660732,0.918978571,0.283763908,0.613091167
F273,0.898076923,0.787019231,0.754807692,0.290384615
F274,0.448447659,0.671808569,0.640048579,0.5
F275,0.944431575,0.917092278,0.369996544,0.759528905
F276,0.882972621,0.968827446,0.326049227,0.829830087
F277,0.88668886,0.957254022,0.42909393,0.443617708
F278,0.950094957,0.952949198,0.785965087,0.709488555
F279,0.972115385,0.840867227,0.44683908,0.5353743
F280,0.902197734,0.996645671,0.421808929,0.49295214
F281,0.796404872,0.753657513,0.558542295,0.570577583
F282,0.663843078,0.730622189,0.71031984,0.611448442
F283,0.738097602,0.989925063,0.385171458,0.483985814
F284,0.827730583,0.808835885,0.701106236,0.408903566
F285,0.577957921,0.701415842,0.560074257,0.479115099
F286,0.966434649,0.982260389,0.32980159,0.739628147
F287,0.640664675,0.637677371,0.365720687,0.425065347
F288,0.665200435,0.586726827,0.393064445,0.518326812
F289,0.494915432,0.541598797,0.497342594,0.497633536
F290,0.276155337,0.552206321,0.179062314,0.303313208
F291,0.399818805,0.52935595,0.42684592,0.579575972
F292,0.479667662,0.707701643,0.620995146,0.725728155
F293,0.568709004,0.65800164,0.460010435,0.362723614
F294,0.853846154,0.641826923,0.539423077,0.480288462
F295,0.45097905,0.648944687,0.446211323,0.510533708
F296,0.257692308,0.779326923,0.227884615,0.408653846
F297,0.550698014,0.574365442,0.480638048,0.511593375
F298,0.579821695,0.573137603,0.455055078,0.415319268
F299,0.929807692,0.828365385,0.885576923,0.610576923
F300,0.361052807,0.557208896,0.718249209,0.471035316
F301,0.452906977,0.691975999,0.482021467,0.773710495
F302,0.292672828,0.790635662,0.179458302,0.679745382
F303,0.932729148,0.737507368,0.273957412,0.414423077
F304,0.361902864,0.528093371,0.480239408,0.506920913
F305,0.707641141,0.943963679,0.439349983,0.783976254
F306,0.680515896,0.511053208,0.475437845,0.489306111
F307,0.622444719,0.654617987,0.621429043,0.639521452
F308,0.789091673,0.700702483,0.652637229,0.634339993
F309,0.321089455,0.72806097,0.306971514,0.459278694
F310,0.691724235,0.602819268,0.56867065,0.468523618
F311,0.628792983,0.671118266,0.65348786,0.701617605
F312,0.536442634,0.819891627,0.432721079,0.168892919
F313,0.7689475,0.945348063,0.232059994,0.841685603
F314,0.495948469,0.50315534,0.363872293,0.437654033
F315,0.780883436,0.782237327,0.607530209,0.639447023
F316,0.538069455,0.484881441,0.460679612,0.636832524
F317,0.753310357,0.764274701,0.601604001,0.61172618
F318,0.378391473,0.528298301,0.621623435,0.59352266
F319,0.616220896,0.70292514,0.658104922,0.508429119
F320,0.222085912,0.609740642,0.570402299,0.687700781
F321,0.7,0.515776699,0.665048544,0.573058252
F322,0.449628784,0.598465163,0.466176471,0.584018656
F323,0.457770801,0.643385461,0.400978143,0.590855573
F324,0.600463978,0.6971962,0.486357496,0.60413483
F325,0.603926328,0.562309633,0.483966305,0.509475538
F326,0.942457034,0.972181775,0.221593458,0.567041535
F327,0.548930624,0.634719622,0.550693101,0.513489736
F328,0.998080614,0.992812415,0.300553018,0.48829524
F329,0.471919343,0.522698842,0.207785661,0.411536128
F330,0.910576923,0.663942308,0.463461538,0.099038462
F331,0.178669319,0.648668214,0.580433982,0.639671751
F332,0.482342233,0.497096714,0.611585138,0.490300597
F333,0.980822688,0.961162773,0.286554739,0.783592928
F334,0.570134343,0.607971717,0.468529293,0.605471717
F335,0.458271098,0.601446975,0.519380134,0.547288088
F336,0.343866048,0.666919024,0.60852122,0.64533046
F337,0.533280982,0.589693984,0.665062821,0.543974872
F338,0.588046117,0.403692121,0.587159261,0.486137043
F339,0.569873685,0.74358762,0.414808926,0.678788908
F340,0.783161877,0.742802726,0.634033842,0.313589956
F341,0.527067774,0.39128314,0.586935213,0.519193428
F342,0.926040942,0.94092219,0.671312399,0.653420948
F343,0.60377907,0.47368068,0.739229278,0.742292785
F344,0.342681105,0.39909214,0.430344473,0.586491785
F345,0.926191894,0.985619314,0.299153926,0.773033549
F346,0.838536221,0.835688947,0.859073936,0.36206124
F347,0.947115385,0.874038462,0.653846154,0.621153846
